001 -   429 - :multithonk:
002 -   386 - :blobwave:
003 -   366 - :potgchamp:
004 -   345 - :bslul:
005 -   302 - :monkas:
006 -   281 - :blobsob:
007 -   272 - :uncle:
008 -   272 - :smackdrafts:
009 -   271 - :blobzip:
010 -   232 - :puke:
011 -   219 - :blobthonkang:
012 -   217 - :blobwavereverse:
013 -   211 - :blobthinkingeyes:
014 -   206 - :blobthinking:
015 -   199 - :supershooter:
016 -   196 - :potatohno:
017 -   189 - :blobonfire:
018 -   181 - :blobhammer:
019 -   170 - :blobthinkingdown:
020 -   163 - :bloblul:
021 -   159 - :breading:
022 -   138 - :comcast:
023 -   132 - :sealsign:
024 -   120 - :blobaww:
025 -   119 - :lewd:
026 -   119 - :notlikeblob:
027 -   109 - :noping:
028 -   109 - :jebgasm:
029 -   107 - :dannysgame:
030 -   106 - :treebeard:
031 -   103 - :sip:
032 -   101 - :wtf:
033 -    98 - :blobpeek:
034 -    95 - :feelsblobman:
035 -    92 - :blobhearteyes:
036 -    85 - :googlemusclel:
037 -    84 - :blobowoevil:
038 -    83 - :blobthonking:
039 -    79 - :blobpray:
040 -    75 - :yesping:
041 -    75 - :nay:
042 -    75 - :seal:
043 -    72 - :blobthump:
044 -    69 - :canderda:
045 -    69 - :sad:
046 -    68 - :kingbless:
047 -    68 - :blobsalute:
048 -    67 - :dubious:
049 -    67 - :blobokhand:
050 -    64 - :blobthumbsup:
051 -    63 - :hfacenospace:
052 -    61 - :jeb:
053 -    60 - :blobsad:
054 -    59 - :fascism:
055 -    59 - :drowstrats:
056 -    57 - :spheal:
057 -    56 - :yea:
058 -    54 - :snowhiyo:
059 -    54 - :blobwizard:
060 -    53 - :blobshrug:
061 -    53 - :svee:
062 -    48 - :02:
063 -    46 - :blobbowing:
064 -    46 - :wut:
065 -    45 - :pudgeface:
066 -    45 - :48:
067 -    44 - :venoblob:
068 -    42 - :00:
069 -    41 - :blobhyperthink:
070 -    40 - :strongthink:
071 -    40 - :28:
072 -    39 - :notlikeking:
073 -    39 - :blobwink:
074 -    39 - :blobfacepalm:
075 -    38 - :jebbaited:
076 -    38 - :weakthink:
077 -    38 - :feelsjebman:
078 -    37 - :blobastonished:
079 -    37 - :blobnauseated:
080 -    35 - :kingsob:
081 -    35 - :pogchamp:
082 -    35 - :blobhug:
083 -    33 - :googlefire:
084 -    33 - :blobangery:
085 -    32 - :googlegun:
086 -    32 - :feelsbadman:
087 -    31 - :blobcry:
088 -    31 - :goob:
089 -    30 - :blobhyperthinkfast:
090 -    29 - :blobwaitwhat:
091 -    28 - :blobthinkingcool:
092 -    28 - :39:
093 -    28 - :jebthinking:
094 -    27 - :peepo:
095 -    27 - :blobfearful:
096 -    26 - :beastsweats:
097 -    25 - :blobreach:
098 -    25 - :tonker:
099 -    25 - :blobthink:
100 -    25 - :20:
101 -    24 - :14:
102 -    24 - :37:
103 -    24 - :blobcheer:
104 -    24 - :blobderpy:
105 -    23 - :blobthinkingfast:
106 -    23 - :arthinking:
107 -    23 - :seel:
108 -    23 - :jebrusalem:
109 -    22 - :35:
110 -    21 - :blobscream:
111 -    21 - :blobsweats:
112 -    21 - :blobsmirk:
113 -    21 - :blobsleeping:
114 -    20 - :40:
115 -    20 - :thinkingnoose:
116 -    20 - :blobdrool:
117 -    20 - :blobneutral:
118 -    19 - :blobcoffee:
119 -    19 - :38:
120 -    19 - :36:
121 -    19 - :thonking:
122 -    19 - :thonker:
123 -    19 - :21:
124 -    19 - :34:
125 -    19 - :blobuwu:
126 -    19 - :sanic:
127 -    18 - :52:
128 -    18 - :blobmelt:
129 -    18 - :googlesnake:
130 -    17 - :blackdanny:
131 -    17 - :hypersniper:
132 -    17 - :16:
133 -    17 - :08:
134 -    17 - :blobowo:
135 -    17 - :fu:
136 -    16 - :kreygasm:
137 -    16 - :05:
138 -    16 - :blobcaged:
139 -    16 - :blobthinkingsmirk:
140 -    16 - :venomoji:
141 -    16 - :blobpopcorn2:
142 -    15 - :thinkw:
143 -    15 - :17:
144 -    15 - :blobpopcorn:
145 -    15 - :kingaww:
146 -    15 - :12:
147 -    15 - :mterf:
148 -    15 - :thinkingwithblobs:
149 -    14 - :27:
150 -    14 - :lul:
151 -    14 - :redpanda:
152 -    14 - :blobthinkingglare:
153 -    14 - :49:
154 -    14 - :truckdrafts:
155 -    14 - :56:
156 -    13 - :el:
157 -    13 - :19:
158 -    13 - :22:
159 -    13 - :gabeface:
160 -    12 - :trees:
161 -    12 - :blobblush:
162 -    12 - :blobastonish:
163 -    12 - :omegalul:
164 -    12 - :googlemuscler:
165 -    12 - :blobcool:
166 -    12 - :treethink:
167 -    12 - :blobsmilesweat2:
168 -    12 - :blobkissheart:
169 -    12 - :dome:
170 -    12 - :blobhero:
171 -    12 - :blob0w0:
172 -    12 - :blobpoliceangry:
173 -    11 - :24:
174 -    11 - :53:
175 -    11 - :blobdevil:
176 -    11 - :45:
177 -    11 - :wutface:
178 -    11 - :04:
179 -    11 - :panda_face:
180 -    11 - :blobeyes:
181 -    11 - :bolb:
182 -    11 - :blobglare:
183 -    10 - :zaichoon:
184 -    10 - :dannyw:
185 -    10 - :03:
186 -    10 - :33:
187 -    10 - :comradepanda:
188 -    10 - :blobsmilehappyeyes:
189 -    10 - :blobstop:
190 -    10 - :blobnogood:
191 -     9 - :thonk:
192 -     9 - :kingsalute:
193 -     9 - :meme:
194 -     9 - :25:
195 -     9 - :11:
196 -     9 - :vohiyo:
197 -     9 - :kingderp:
198 -     9 - :smellsjebman:
199 -     9 - :holla:
200 -     9 - :doggoblob:
201 -     9 - :31:
202 -     8 - :54:
203 -     8 - :trigasm:
204 -     8 - :58:
205 -     8 - :brokeback:
206 -     8 - :doot:
207 -     8 - :kingsleep:
208 -     8 - :26:
209 -     8 - :rainblob:
210 -     8 - :basicblobthink:
211 -     8 - :chance:
212 -     8 - :pikablob:
213 -     7 - :kappa:
214 -     7 - :47:
215 -     7 - :kingok:
216 -     7 - :feelsgoodman:
217 -     7 - :32:
218 -     7 - :57:
219 -     7 - :blobtonguewink:
220 -     7 - :zip:
221 -     7 - :blobugh:
222 -     7 - :blobnervous:
223 -     7 - :blobconfused:
224 -     7 - :americapanda:
225 -     7 - :tacomadome:
226 -     7 - :zaiv:
227 -     7 - :poppinphil:
228 -     7 - :30:
229 -     7 - :blobrofl:
230 -     7 - :blobzippermouth:
231 -     7 - :ub3rb0t:
232 -     7 - :snowhiyo2:
233 -     6 - :ryrk:
234 -     6 - :giff:
235 -     6 - :potatocarry:
236 -     6 - :42:
237 -     6 - :seemsgood:
238 -     6 - :blobcatreach:
239 -     6 - :roosip:
240 -     6 - :blobfire2:
241 -     6 - :blobhighfive:
242 -     6 - :kingowo:
243 -     6 - :51:
244 -     6 - :jebaited:
245 -     6 - :blobfistbumpl:
246 -     6 - :blobangel:
247 -     6 - :blobwoah:
248 -     6 - :blobxd:
249 -     6 - :09:
250 -     6 - :kingpalm:
251 -     6 - :feelsdabman:
252 -     6 - :bloboutage:
253 -     6 - :blobok:
254 -     6 - :blobpatrol:
255 -     6 - :blobpolice:
256 -     5 - :ryrkface:
257 -     5 - :44:
258 -     5 - :a2kw:
259 -     5 - :monkamega:
260 -     5 - :thonkang:
261 -     5 - :red_panda_face:
262 -     5 - :6k:
263 -     5 - :13:
264 -     5 - :mmmsssssymmmmm:
265 -     5 - :50:
266 -     5 - :scream2:
267 -     5 - :googlecat:
268 -     5 - :brainstorm:
269 -     5 - :nogod:
270 -     5 - :gskwtf:
271 -     5 - :blobdetective:
272 -     5 - :10:
273 -     5 - :narwalthinking:
274 -     5 - :18:
275 -     5 - :07:
276 -     5 - :blobtilt:
277 -     5 - :blobsnuggle:
278 -     5 - :nysmouse:
279 -     5 - :thinkraging:
280 -     5 - :blobamused:
281 -     4 - :blobnerd:
282 -     4 - :a2kvv:
283 -     4 - :unimpressed:
284 -     4 - :kappapride:
285 -     4 - :chancew:
286 -     4 - :osfrog:
287 -     4 - :59:
288 -     4 - :01:
289 -     4 - :nazi:
290 -     4 - :blobsweat:
291 -     4 - :rooblank:
292 -     4 - :blobparty:
293 -     4 - :blobawkward:
294 -     4 - :googleghost:
295 -     4 - :blobdead:
296 -     4 - :55:
297 -     4 - :biblethump:
298 -     4 - :theonking:
299 -     4 - :photoblob:
300 -     4 - :cmhiyo:
301 -     4 - :blobyum:
302 -     4 - :43:
303 -     4 - :blobjoy:
304 -     4 - :blobsmilehappy:
305 -     4 - :dadthinking:
306 -     4 - :29:
307 -     4 - :facepanda:
308 -     4 - :blobwhistle:
309 -     4 - :blobsleepless:
310 -     4 - :delpudge:
311 -     4 - :blobgo:
312 -     3 - :yespingpls:
313 -     3 - :roocry:
314 -     3 - :a2k:
