001 -  1612 - :snake:
002 -  1564 - :fire:
003 -  1449 - :monkas:
004 -  1289 - :thinking_face:
005 -  1097 - :panda_face:
006 -   900 - :middle_finger:
007 -   846 - :clapping_hands:
008 -   825 - :yea:
009 -   697 - :speech_balloon:
010 -   571 - :ok_hand:
011 -   554 - :thumbs_up:
012 -   544 - :frowning_face_with_open_mouth:
013 -   496 - :uncle:
014 -   491 - :potgchamp:
015 -   486 - :bslul:
016 -   484 - :multithonk:
017 -   465 - :smackdrafts:
018 -   452 - :loudly_crying_face:
019 -   432 - :blobwave:
020 -   367 - :supershooter:
021 -   341 - :blobzip:
022 -   340 - :face_screaming_in_fear:
023 -   336 - :wtf:
024 -   330 - :eggplant:
025 -   325 - :blobsob:
026 -   304 - :potatohno:
027 -   287 - :nay:
028 -   284 - :blobthinkingeyes:
029 -   281 - :red_heart:
030 -   262 - :puke:
031 -   260 - :lewd:
032 -   260 - :blobwavereverse:
033 -   249 - :pistol:
034 -   248 - :jebgasm:
035 -   248 - :blobthonkang:
036 -   244 - :blobthinking:
037 -   243 - :blobonfire:
038 -   239 - :comcast:
039 -   222 - :treebeard:
040 -   219 - :blobhammer:
041 -   211 - :breading:
042 -   206 - :blobthinkingdown:
043 -   202 - :smiling_face_with_open_mouth:
044 -   202 - :winking_face:
045 -   194 - 🖕🏿
046 -   190 - :blobaww:
047 -   189 - :sweat_droplets:
048 -   182 - :bloblul:
049 -   181 - :blobsalute:
050 -   173 - :robot_face:
051 -   168 - :noping:
052 -   163 - :fu:
053 -   152 - :dark_skin_tone:
054 -   151 - 🇹
055 -   144 - :notlikeblob:
056 -   143 - :sealsign:
057 -   142 - :blobpeek:
058 -   141 - :sip:
059 -   141 - :litter_in_bin_sign:
060 -   141 - 🇪
061 -   137 - :dubious:
062 -   137 - :backhand_index_pointing_up:
063 -   133 - :venoblob:
064 -   132 - :hundred_points:
065 -   132 - :waving_hand:
066 -   125 - :dannysgame:
067 -   125 - :seal:
068 -   124 - :blobhearteyes:
069 -   120 - :yesping:
070 -   118 - :folded_hands:
071 -   118 - :smiling_face_with_open_mouth_&_smiling_eyes:
072 -   115 - :eyes:
073 -   113 - :blobthumbsup:
074 -   108 - :nauseated_face:
075 -   108 - :venomoji:
076 -   105 - :svee:
077 -   103 - :canderda:
078 -   102 - :blobokhand:
079 -   102 - :blobthonking:
080 -   101 - :face_with_tears_of_joy:
081 -   101 - :fascism:
082 -   100 - :feelsblobman:
083 -   100 - :blobthump:
084 -    99 - :blobpray:
085 -    97 - :snowhiyo:
086 -    94 - :hfacenospace:
087 -    94 - 🇸
088 -    94 - :backhand_index_pointing_left:
089 -    92 - :b_button_(blood_type):
090 -    91 - :blobsad:
091 -    91 - :jeb:
092 -    89 - :face_with_open_mouth:
093 -    85 - :wut:
094 -    85 - :googlemusclel:
095 -    85 - :open_book:
096 -    85 - :spheal:
097 -    85 - :blobowoevil:
098 -    84 - :pile_of_poo:
099 -    83 - 🇳
100 -    83 - 🇦
101 -    82 - :pudgeface:
102 -    81 - :crying_face:
103 -    81 - :man:
104 -    80 - :strongthink:
105 -    79 - :backhand_index_pointing_right:
106 -    79 - :smiling_face_with_heart-eyes:
107 -    79 - 🇴
108 -    76 - :pouting_face:
109 -    74 - :weakthink:
110 -    73 - 🇮
111 -    72 - 🇭
112 -    69 - :potato:
113 -    69 - :sad:
114 -    69 - :kingbless:
115 -    69 - 🇩
116 -    69 - :white_large_square:
117 -    68 - :prohibited:
118 -    68 - :peach:
119 -    68 - :blobfacepalm:
120 -    66 - 🇵
121 -    66 - :white_heavy_check_mark:
122 -    65 - :drowstrats:
123 -    65 - :blobfearful:
124 -    64 - :blobshrug:
125 -    64 - 🇷
126 -    63 - 🇰
127 -    62 - :question_mark:
128 -    60 - :smiling_face_with_smiling_eyes:
129 -    60 - :blobwizard:
130 -    59 - :delivery_truck:
131 -    58 - :blobbowing:
132 -    58 - 🇫
133 -    57 - :elephant:
134 -    57 - 🇾
135 -    57 - :a_button_(blood_type):
136 -    56 - :goob:
137 -    55 - :star_of_david:
138 -    54 - 🇨
139 -    54 - 🇲
140 -    54 - :seedling:
141 -    54 - :jebthinking:
142 -    53 - :medium_skin_tone:
143 -    52 - :light_skin_tone:
144 -    52 - 🇺
145 -    51 - :blobangery:
146 -    51 - :person_shrugging:
147 -    49 - :jebbaited:
148 -    49 - :flexed_biceps:
149 -    49 - 🇱
150 -    48 - :beastsweats:
151 -    48 - :02:
152 -    48 - :blobnauseated:
153 -    48 - :heavy_check_mark:
154 -    47 - :peepo:
155 -    45 - :googlegun:
156 -    45 - :blobastonished:
157 -    45 - :cow_face:
158 -    45 - :48:
159 -    44 - :kingsob:
160 -    44 - 🇼
161 -    44 - :blobhyperthink:
162 -    44 - :thumbs_down:
163 -    44 - :eye:
164 -    44 - :raised_fist:
165 -    43 - :ghost:
166 -    43 - :pogchamp:
167 -    43 - :retweet:
168 -    42 - :00:
169 -    42 - :googlefire:
170 -    42 - :seel:
171 -    41 - :blobhug:
172 -    41 - :blobwaitwhat:
173 -    40 - :crown:
174 -    40 - :28:
175 -    40 - :feelsjebman:
176 -    40 - :straight_ruler:
177 -    40 - :chart_increasing_with_yen:
178 -    39 - :notlikeking:
179 -    39 - :blobwink:
180 -    39 - :blobcaged:
181 -    39 - :blobderpy:
182 -    38 - :hypersniper:
183 -    38 - :blobcry:
184 -    37 - 🇧
185 -    37 - :kitchen_knife:
186 -    37 - :dome:
187 -    36 - :pancakes:
188 -    36 - :cross_mark:
189 -    36 - :jack-o-lantern:
190 -    36 - :jebrusalem:
191 -    35 - :blobdrool:
192 -    35 - 🇬
193 -    34 - :blobreach:
194 -    34 - :skull:
195 -    34 - :package:
196 -    34 - :blobcheer:
197 -    34 - :blobhyperthinkfast:
198 -    34 - :black_small_square:
199 -    33 - :boar:
200 -    32 - :popcorn:
201 -    32 - :trees:
202 -    32 - :blobthinkingcool:
203 -    32 - :blobsweats:
204 -    32 - :evergreen_tree:
