001 -  1572 - :snake:
002 -  1459 - :fire:
003 -  1199 - :thinking_face:
004 -   616 - :middle_finger:
005 -   552 - :clapping_hands:
006 -   529 - :frowning_face_with_open_mouth:
007 -   517 - :panda_face:
008 -   443 - :ok_hand:
009 -   439 - :loudly_crying_face:
010 -   429 - :multithonk:
011 -   395 - :thumbs_up:
012 -   386 - :blobwave:
013 -   366 - :potgchamp:
014 -   345 - :bslul:
015 -   326 - :face_screaming_in_fear:
016 -   302 - :monkas:
017 -   281 - :blobsob:
018 -   272 - :uncle:
019 -   272 - :smackdrafts:
020 -   271 - :blobzip:
021 -   258 - :red_heart:
022 -   232 - :puke:
023 -   219 - :blobthonkang:
024 -   217 - :blobwavereverse:
025 -   212 - :pistol:
026 -   211 - :blobthinkingeyes:
027 -   206 - :blobthinking:
028 -   199 - :supershooter:
029 -   199 - :smiling_face_with_open_mouth:
030 -   196 - :winking_face:
031 -   196 - :potatohno:
032 -   189 - :blobonfire:
033 -   181 - :blobhammer:
034 -   170 - :blobthinkingdown:
035 -   164 - :sweat_droplets:
036 -   163 - :bloblul:
037 -   159 - :breading:
038 -   155 - :eggplant:
039 -   152 - :dark_skin_tone:
040 -   138 - :comcast:
041 -   132 - :sealsign:
042 -   126 - :backhand_index_pointing_up:
043 -   124 - :litter_in_bin_sign:
044 -   120 - :blobaww:
045 -   119 - :lewd:
046 -   119 - :waving_hand:
047 -   119 - :notlikeblob:
048 -   114 - :smiling_face_with_open_mouth_&_smiling_eyes:
049 -   109 - :noping:
050 -   109 - :jebgasm:
051 -   107 - :dannysgame:
052 -   106 - :treebeard:
053 -   104 - :nauseated_face:
054 -   103 - :hundred_points:
055 -   103 - :sip:
056 -   101 - :eyes:
057 -   101 - :wtf:
058 -    98 - :blobpeek:
059 -    95 - :feelsblobman:
060 -    94 - :face_with_tears_of_joy:
061 -    94 - :folded_hands:
062 -    92 - :blobhearteyes:
063 -    89 - :backhand_index_pointing_left:
064 -    87 - :face_with_open_mouth:
065 -    85 - :googlemusclel:
066 -    84 - :blobowoevil:
067 -    83 - :blobthonking:
068 -    80 - :man:
069 -    79 - :smiling_face_with_heart-eyes:
070 -    79 - :blobpray:
071 -    75 - :yesping:
072 -    75 - :nay:
073 -    75 - :seal:
074 -    72 - :backhand_index_pointing_right:
075 -    72 - :blobthump:
076 -    69 - :canderda:
077 -    69 - :sad:
078 -    69 - :white_large_square:
