001 -  1147 - :monkas:
002 -   769 - :yea:
003 -   687 - :speech_balloon:
004 -   580 - :panda_face:
005 -   294 - :clapping_hands:
006 -   284 - :middle_finger:
007 -   235 - :wtf:
008 -   224 - :uncle:
009 -   212 - :nay:
010 -   194 - 🖕🏿
011 -   193 - :smackdrafts:
012 -   175 - :eggplant:
013 -   169 - :robot_face:
014 -   168 - :supershooter:
015 -   159 - :thumbs_up:
016 -   151 - 🇹
017 -   146 - :fu:
018 -   141 - :lewd:
019 -   141 - :bslul:
020 -   141 - 🇪
021 -   139 - :jebgasm:
022 -   128 - :ok_hand:
023 -   125 - :potgchamp:
024 -   116 - :treebeard:
025 -   113 - :blobsalute:
026 -   108 - :potatohno:
027 -   105 - :fire:
028 -   101 - :comcast:
029 -    94 - 🇸
030 -    92 - :venomoji:
031 -    90 - :thinking_face:
032 -    89 - :venoblob:
033 -    83 - 🇳
034 -    83 - 🇦
035 -    79 - 🇴
036 -    73 - 🇮
037 -    73 - :blobthinkingeyes:
038 -    72 - 🇭
039 -    70 - :dubious:
040 -    70 - :blobzip:
041 -    70 - :blobaww:
042 -    69 - 🇩
043 -    66 - 🇵
044 -    64 - 🇷
045 -    63 - 🇰
046 -    59 - :noping:
047 -    58 - 🇫
048 -    57 - 🇾
049 -    55 - :multithonk:
050 -    54 - :blobonfire:
051 -    54 - 🇨
052 -    54 - 🇲
053 -    52 - :breading:
054 -    52 - 🇺
055 -    52 - :svee:
056 -    50 - :seal:
057 -    49 - 🇱
058 -    49 - :blobthumbsup:
059 -    47 - :a_button_(blood_type):
060 -    46 - :blobwave:
061 -    45 - :yesping:
062 -    44 - :blobsob:
063 -    44 - 🇼
064 -    44 - :blobpeek:
065 -    43 - :snowhiyo:
066 -    43 - :blobwavereverse:
067 -    42 - :fascism:
068 -    41 - :retweet:
069 -    41 - :pile_of_poo:
070 -    40 - :strongthink:
071 -    40 - :snake:
072 -    39 - :wut:
073 -    39 - :open_book:
074 -    39 - :chart_increasing_with_yen:
075 -    38 - :sip:
076 -    38 - :blobhammer:
077 -    38 - :blobfearful:
078 -    38 - :blobthinking:
079 -    37 - 🇧
080 -    37 - :pistol:
081 -    37 - :pudgeface:
082 -    36 - :weakthink:
083 -    36 - :blobthinkingdown:
084 -    35 - :blobokhand:
085 -    35 - 🇬
086 -    34 - :canderda:
087 -    34 - :white_heavy_check_mark:
088 -    33 - :question_mark:
089 -    32 - :blobhearteyes:
090 -    31 - :hfacenospace:
091 -    31 - :blobsad:
092 -    30 - :jeb:
093 -    30 - :puke:
094 -    30 - :b_button_(blood_type):
095 -    30 - 🖕🏻
096 -    29 - :hundred_points:
097 -    29 - 🇨🇦
098 -    29 - :blobfacepalm:
099 -    29 - :blobthonkang:
100 -    28 - :blobthump:
101 -    28 - 🖕🏽
102 -    28 - :spheal:
103 -    26 - :o_button_(blood_type):
104 -    26 - 👏🏿
105 -    26 - :jebthinking:
106 -    25 - :sweat_droplets:
107 -    25 - :goob:
108 -    25 - :notlikeblob:
109 -    25 - :dome:
110 -    24 - :folded_hands:
111 -    24 - 3⃣
112 -    23 - :yespingpls:
113 -    23 - :red_heart:
114 -    23 - :blobcaged:
115 -    22 - :beastsweats:
116 -    21 - :hypersniper:
117 -    21 - :holla:
118 -    21 - :crying_face:
119 -    21 - :elephant:
120 -    21 - :blobstop:
121 -    20 - :trees:
122 -    20 - :peepo:
123 -    20 - :information:
124 -    20 - :blobpray:
125 -    20 - :glasses:
126 -    19 - :smellsjebman:
127 -    19 - :blobfire2:
128 -    19 - :bloblul:
129 -    19 - :skull:
130 -    19 - :a2kw:
131 -    19 - :blobthonking:
132 -    19 - :seel:
133 -    18 - :blobangery:
134 -    18 - :dannysgame:
135 -    18 - :thumbs_down:
136 -    18 - :nopingpls:
137 -    18 - 1⃣
138 -    18 - :briefcase:
139 -    17 - :poppinphil:
140 -    17 - :kitchen_knife:
141 -    17 - 🖕🏼
142 -    17 - :potatocarry:
143 -    17 - 4⃣
144 -    17 - :litter_in_bin_sign:
145 -    16 - :circled_m:
146 -    16 - 2⃣
147 -    15 - :tacomadome:
148 -    15 - 🇺🇸
149 -    15 - :hammer:
150 -    15 - :blobdrool:
151 -    15 - :frowning_face_with_open_mouth:
152 -    15 - :blobderpy:
153 -    14 - :doggoblob:
154 -    14 - :blobfire:
155 -    14 - :face_screaming_in_fear:
156 -    14 - :eyes:
157 -    14 - :pouting_face:
158 -    14 - :ub3rb0t:
159 -    13 - :googlegun:
160 -    13 - :potato:
161 -    13 - :loudly_crying_face:
162 -    13 - :googlesnake:
163 -    13 - :sanic:
164 -    13 - :waving_hand:
165 -    13 - :peach:
166 -    13 - :jebrusalem:
167 -    13 - :heavy_large_circle:
168 -    13 - :sungpark:
169 -    12 - :upside-down_face:
170 -    12 - :straight_ruler:
171 -    12 - :blobwaitwhat:
172 -    12 - 🇮🇱
173 -    12 - :blobthinkingglare:
174 -    12 - :trophy:
175 -    12 - 7⃣
176 -    12 - :blobbowing:
177 -    12 - 🏳️‍🌈
178 -    11 - :sealsign:
179 -    11 - :jebbaited:
180 -    11 - 🇽
181 -    11 - :backhand_index_pointing_up:
182 -    11 - :blobsweats:
183 -    11 - 🇯
184 -    11 - :blobnauseated:
