001 -  1572 - :snake:
002 -  1459 - :fire:
003 -  1199 - :thinking_face:
004 -   616 - :middle_finger:
005 -   552 - :clapping_hands:
006 -   529 - :frowning_face_with_open_mouth:
007 -   506 - :panda_face:
008 -   443 - :ok_hand:
009 -   439 - :loudly_crying_face:
010 -   395 - :thumbs_up:
011 -   326 - :face_screaming_in_fear:
012 -   258 - :red_heart:
013 -   212 - :pistol:
014 -   199 - :smiling_face_with_open_mouth:
015 -   196 - :winking_face:
016 -   164 - :sweat_droplets:
017 -   155 - :eggplant:
018 -   152 - :dark_skin_tone:
019 -   126 - :backhand_index_pointing_up:
020 -   124 - :litter_in_bin_sign:
021 -   119 - :waving_hand:
022 -   114 - :smiling_face_with_open_mouth_&_smiling_eyes:
023 -   104 - :nauseated_face:
024 -   103 - :hundred_points:
025 -   101 - :eyes:
026 -    94 - :face_with_tears_of_joy:
027 -    94 - :folded_hands:
028 -    89 - :backhand_index_pointing_left:
029 -    87 - :face_with_open_mouth:
030 -    80 - :man:
031 -    79 - :smiling_face_with_heart-eyes:
032 -    72 - :backhand_index_pointing_right:
033 -    69 - :white_large_square:
034 -    67 - :prohibited:
035 -    62 - :b_button_(blood_type):
036 -    62 - :pouting_face:
037 -    60 - :crying_face:
038 -    56 - :potato:
039 -    56 - :smiling_face_with_smiling_eyes:
040 -    55 - :star_of_david:
041 -    55 - :peach:
042 -    53 - :medium_skin_tone:
043 -    52 - :light_skin_tone:
044 -    51 - :person_shrugging:
045 -    49 - :delivery_truck:
046 -    48 - :seedling:
047 -    46 - :open_book:
048 -    44 - :eye:
049 -    43 - :pile_of_poo:
050 -    43 - :heavy_check_mark:
051 -    41 - :raised_fist:
052 -    40 - :cow_face:
053 -    39 - :flexed_biceps:
054 -    38 - :crown:
055 -    36 - :elephant:
056 -    35 - :ghost:
057 -    34 - :package:
058 -    34 - :black_small_square:
059 -    33 - :boar:
060 -    32 - :white_heavy_check_mark:
061 -    32 - :cross_mark:
062 -    32 - :jack-o-lantern:
063 -    31 - :pancakes:
064 -    29 - :question_mark:
065 -    29 - :evergreen_tree:
066 -    28 - :straight_ruler:
067 -    27 - :popcorn:
068 -    26 - :old_man:
069 -    26 - :thumbs_down:
070 -    26 - :two_men_holding_hands:
071 -    26 - :night_with_stars:
072 -    25 - :broken_heart:
073 -    25 - :smiling_face_with_sunglasses:
074 -    24 - :red_triangle_pointed_up:
