001 -   687 - :speech_balloon:
002 -   580 - :panda_face:
003 -   294 - :clapping_hands:
004 -   284 - :middle_finger:
005 -   194 - 🖕🏿
006 -   175 - :eggplant:
007 -   169 - :robot_face:
008 -   159 - :thumbs_up:
009 -   151 - 🇹
010 -   141 - 🇪
011 -   128 - :ok_hand:
012 -   105 - :fire:
013 -    94 - 🇸
014 -    90 - :thinking_face:
015 -    83 - 🇳
016 -    83 - 🇦
017 -    79 - 🇴
018 -    73 - 🇮
019 -    72 - 🇭
020 -    69 - 🇩
021 -    66 - 🇵
022 -    64 - 🇷
023 -    63 - 🇰
024 -    58 - 🇫
025 -    57 - 🇾
026 -    54 - 🇨
027 -    54 - 🇲
028 -    52 - 🇺
029 -    49 - 🇱
030 -    47 - :a_button_(blood_type):
031 -    44 - 🇼
032 -    41 - :pile_of_poo:
033 -    40 - :snake:
034 -    39 - :open_book:
035 -    39 - :chart_increasing_with_yen:
036 -    37 - 🇧
037 -    37 - :pistol:
038 -    35 - 🇬
039 -    34 - :white_heavy_check_mark:
040 -    33 - :question_mark:
041 -    30 - :b_button_(blood_type):
042 -    30 - 🖕🏻
043 -    29 - :hundred_points:
044 -    29 - 🇨🇦
045 -    28 - 🖕🏽
046 -    26 - :o_button_(blood_type):
047 -    26 - 👏🏿
048 -    25 - :sweat_droplets:
049 -    24 - :folded_hands:
050 -    24 - 3⃣
051 -    23 - :red_heart:
052 -    21 - :crying_face:
053 -    21 - :elephant:
054 -    20 - :information:
055 -    20 - :glasses:
056 -    19 - :skull:
057 -    18 - :thumbs_down:
058 -    18 - 1⃣
059 -    18 - :briefcase:
060 -    17 - :kitchen_knife:
061 -    17 - 🖕🏼
062 -    17 - 4⃣
063 -    17 - :litter_in_bin_sign:
064 -    16 - :circled_m:
065 -    16 - 2⃣
066 -    15 - 🇺🇸
067 -    15 - :hammer:
068 -    15 - :frowning_face_with_open_mouth:
069 -    14 - :face_screaming_in_fear:
070 -    14 - :eyes:
071 -    14 - :pouting_face:
072 -    13 - :potato:
073 -    13 - :loudly_crying_face:
074 -    13 - :waving_hand:
075 -    13 - :peach:
076 -    13 - :heavy_large_circle:
077 -    12 - :upside-down_face:
078 -    12 - :straight_ruler:
079 -    12 - 🇮🇱
080 -    12 - :trophy:
081 -    12 - 7⃣
082 -    12 - 🏳️‍🌈
083 -    11 - 🇽
084 -    11 - :backhand_index_pointing_up:
085 -    11 - 🇯
086 -    10 - :flexed_biceps:
087 -    10 - :delivery_truck:
088 -    10 - :vs_button:
089 -     9 - :bug:
090 -     9 - :frog_face:
091 -     9 - 👋🏿
092 -     9 - 👌🏿
093 -     9 - :fish:
094 -     9 - :pregnant_woman:
095 -     9 - :ok_button:
096 -     9 - 🇶
097 -     9 - :leaf_fluttering_in_wind:
098 -     8 - :ghost:
099 -     8 - :glowing_star:
100 -     8 - :cool_button:
101 -     8 - :framed_picture:
102 -     8 - :crescent_moon:
103 -     7 - :crying_cat_face:
104 -     7 - :monkey_face:
105 -     7 - :face_with_tears_of_joy:
106 -     7 - 🇿
107 -     7 - :money_bag:
108 -     7 - :lollipop:
109 -     7 - :backhand_index_pointing_right:
110 -     7 - :ng_button:
111 -     7 - :p_button:
112 -     7 - 9⃣
113 -     7 - :hot_beverage:
114 -     7 - :wastebasket:
115 -     6 - 6⃣
116 -     6 - :pool_8_ball:
117 -     6 - :french_fries:
118 -     6 - :winking_face:
119 -     6 - :clinking_beer_mugs:
120 -     6 - :heavy_plus_sign:
121 -     6 - :1st_place_medal:
122 -     6 - 🖕🏾
123 -     6 - :seedling:
